mu,lambd,mutation_strength,mutation_probability,optimal_solution_x,optimal_solution_y,"bukin_function(optimal_solution[0], optimal_solution[1])",optimization_time
100,100,0.1,0.99,-8.880057214566571,0.7885565157843224,0.16464142224312522,14.672583818435669
100,100,0.5,0.5,-5.520047575017101,0.30476576024408053,0.7965171544720557,14.185701131820679
100,100,0.5,0.9,-11.559916753199944,1.3363498594334304,0.590977515254978,11.986474990844727
100,100,0.5,0.99,-8.423094978619226,0.7094644023281067,0.47280143744172487,12.030298709869385
100,100,1.0,0.5,-9.356568910550878,0.8754667541232034,0.3661056098726075,13.179415941238403
100,100,1.0,0.9,-5.8291613901947565,0.33970766985092393,0.9557941503932933,13.0521719455719
100,100,1.0,0.99,-11.771003066990525,1.3855931303167108,0.5468440940905963,13.007390260696411
100,200,0.1,0.5,-6.784338855845409,0.4602748292546258,0.18355493666040906,26.86150598526001
100,200,0.1,0.9,-11.682879245331165,1.3649019559514077,0.24664048734257835,25.676428079605103
100,200,0.1,0.99,-4.890504119806914,0.23916774871371524,0.21099320046536568,28.259350061416626
100,200,0.5,0.5,-9.1350159668939,0.8344934429334315,0.29632638380800724,27.528806924819946
100,200,0.5,0.9,-8.417577094402459,0.7085339272353134,0.4860812521401546,26.428595066070557
100,200,0.5,0.99,-10.502562584049812,1.1030282902291566,0.31995561288857444,24.394466161727905
100,200,1.0,0.5,-5.851260877515542,0.3423568375908102,0.43773197010618176,25.841334104537964
100,200,1.0,0.9,-6.217017478075715,0.3865232565615552,0.3570998452002408,25.38922095298767
100,200,1.0,0.99,-0.8898621707114232,0.007915826373372065,0.25603940484815935,24.699350118637085
